,i_r1,name,type,time,OK
0,13.98855,tran_SchGtKfsTlVh,Sch,Thu Feb 13 20:55:29 2025,True
1,13.844719999999999,tran_SchGtKsfTlVh,Sch,Thu Feb 13 20:55:21 2025,True
2,13.976790000000001,tran_SchGtKffTlVh,Sch,Thu Feb 13 20:55:17 2025,True
3,13.8446,tran_SchGtKssTlVh,Sch,Thu Feb 13 20:55:16 2025,True
4,25.05017,tran_SchGtKfsThVh,Sch,Thu Feb 13 20:55:15 2025,True
5,24.8515,tran_SchGtKsfThVh,Sch,Thu Feb 13 20:55:12 2025,True
6,25.05475,tran_SchGtKffThVh,Sch,Thu Feb 13 20:55:08 2025,True
7,24.78792,tran_SchGtKssThVh,Sch,Thu Feb 13 20:55:05 2025,True
8,13.78946,tran_SchGtKfsTlVl,Sch,Thu Feb 13 20:54:58 2025,True
9,13.58003,tran_SchGtKsfTlVl,Sch,Thu Feb 13 20:54:49 2025,True
10,13.77279,tran_SchGtKffTlVl,Sch,Thu Feb 13 20:54:44 2025,True
11,13.587029999999999,tran_SchGtKssTlVl,Sch,Thu Feb 13 20:54:42 2025,True
12,24.87081,tran_SchGtKfsThVl,Sch,Thu Feb 13 20:54:41 2025,True
13,24.59313,tran_SchGtKsfThVl,Sch,Thu Feb 13 20:54:37 2025,True
14,24.86975,tran_SchGtKffThVl,Sch,Thu Feb 13 20:54:30 2025,True
15,24.54384,tran_SchGtKssThVl,Sch,Thu Feb 13 20:54:27 2025,True
